LCS ID,AKR1D1,TIPARP,CYP3A4,HSD17B10,HSD17B8,AKR1C4,PPARGC1A,CYP19A1,SPP1,HSD17B3,ADM,SGPL1,HSD17B6,CYP17A1,SCARB1,SRD5A1,HSD17B11,WNT4,ESR1,HSD17B4,HSD3B1,DHRS9,SHH,HSD3B2,PLEKHA1,SRD5A2
LCS_079A,8.684,6.402,7.902,9.386000000000001,5.936,8.007,5.906000000000001,4.666,8.455,3.8489999999999998,7.555,3.889,10.877,10.417,8.62,6.593,8.851,3.3,4.476,10.724,3.4330000000000003,3.908,3.392,3.2889999999999997,7.292000000000001,3.763
LCS_092A,6.071000000000001,5.56,7.462999999999999,8.225,4.872,9.038,3.785,3.6239999999999997,8.737,4.27,5.853,3.661,7.409,4.023,8.651,4.686,9.282,3.8810000000000002,3.9,9.457,3.815,4.095,3.641,3.807,7.309,4.625
LCS_101A,9.224,6.3660000000000005,7.935,8.386000000000001,4.877,4.506,4.86,3.873,7.11,4.971,4.793,3.42,9.845,4.551,7.541,6.071000000000001,8.914,3.62,3.839,10.35,3.728,4.437,3.592,3.5039999999999996,7.581,4.27
LCS_083A,7.557,6.007999999999999,8.011000000000001,8.644,6.821000000000001,7.444,6.047999999999999,3.383,4.475,4.632,4.399,3.97,10.481,4.266,7.619,6.352,9.107000000000001,3.52,4.925,11.002,3.495,3.966,3.68,4.111000000000001,6.526,4.974
LCS_095A,4.607,5.888999999999999,8.129,8.964,5.109,7.848,6.257000000000001,3.47,10.387,4.171,5.632000000000001,3.5869999999999997,10.16,10.607000000000001,8.417,6.8,9.331,3.427,4.242,10.955,3.468,5.064,3.5860000000000003,3.4219999999999997,6.441,4.413
LCS_102A,7.337000000000001,5.505,8.062000000000001,9.276,7.041,9.088,6.2,3.6439999999999997,7.031000000000001,5.832000000000001,5.54,3.795,10.286,4.489,8.947000000000001,7.348,9.465,3.307,4.578,10.273,3.321,4.228,3.614,3.3280000000000003,6.614,5.022
LCS_085A,9.529,7.233,9.095,9.035,6.359,8.051,6.318,3.7030000000000003,4.59,3.8680000000000003,4.8260000000000005,3.642,9.42,4.1160000000000005,8.647,6.682,9.568,3.305,4.4719999999999995,10.349,8.346,4.37,3.661,3.761,7.095,4.012
LCS_096A,9.342,5.9270000000000005,11.384,9.354,6.818,9.131,7.229,3.907,7.081,5.005,6.647,3.798,10.697000000000001,4.861000000000001,8.28,6.9879999999999995,8.866,3.708,6.8389999999999995,10.758,3.32,4.001,3.609,4.294,6.853,5.597
LCS_103A,4.231,5.8229999999999995,11.872,9.151,7.782,9.809,7.227,3.484,5.0169999999999995,5.043,5.104,3.782,10.866,9.035,8.958,5.846,8.617,3.327,7.28,11.788,3.343,4.235,3.3739999999999997,3.57,6.309,5.997000000000001
LCS_091A,8.392000000000001,6.284,8.295,8.995,6.617999999999999,10.880999999999998,5.946000000000001,3.5580000000000003,10.77,6.041,5.644,3.446,11.242,3.9589999999999996,9.076,7.822,9.36,3.366,5.867000000000001,10.731,3.596,4.704,3.3480000000000003,3.55,6.822,5.109
LCS_099A,9.917,7.48,7.946000000000001,9.609,7.225,9.597000000000001,5.553,3.657,3.9619999999999997,3.995,5.8660000000000005,3.3480000000000003,11.425999999999998,8.129,9.398,8.375,10.421,3.391,5.194,11.290999999999999,3.717,4.798,3.985,4.038,6.42,5.4639999999999995
LCS_105A,10.478,6.015,9.47,9.628,7.255,8.128,7.056,3.406,4.779,4.56,5.406000000000001,3.717,11.005999999999998,8.49,10.076,6.997000000000001,9.282,3.5989999999999998,6.229,10.718,3.4539999999999997,4.181,3.403,3.32,7.0089999999999995,4.408
